Thread   Start(us)  B/E     Dur(us)  Name/Detail
------  ----------  ---  ----------  ------------------------------
   259      753853  BEG        1905  AnnotateKernels
   259      755759  END        1905  AnnotateKernels
   259      755762  BEG         404  VerifyKernels
   259      756166  END         404  VerifyKernels
   259      756167  BEG        3188  LowerSemanticCF
   259      759355  END        3188  LowerSemanticCF
   259      759357  BEG       31920  CheckLifetimes
   259      760534  BEG           9  (A) SymbolTableAnalysis
   259      760543  END           9  (A) SymbolTableAnalysis
   259      791278  END       31920  CheckLifetimes
   259  5619481760  BEG        1172  AnnotateKernels
   259  5619482933  END        1172  AnnotateKernels
   259  5619482933  BEG         237  VerifyKernels
   259  5619483170  END         237  VerifyKernels
   259  5619483171  BEG        2835  LowerSemanticCF
   259  5619486006  END        2835  LowerSemanticCF
   259  5619486007  BEG       28770  CheckLifetimes
   259  5619486951  BEG           7  (A) SymbolTableAnalysis
   259  5619486959  END           7  (A) SymbolTableAnalysis
   259  5619514778  END       28770  CheckLifetimes
   259  5620120344  BEG        1192  AnnotateKernels
   259  5620121537  END        1192  AnnotateKernels
   259  5620121537  BEG         224  VerifyKernels
   259  5620121762  END         224  VerifyKernels
   259  5620121762  BEG        2473  LowerSemanticCF
   259  5620124236  END        2473  LowerSemanticCF
   259  5620124236  BEG       28750  CheckLifetimes
   259  5620125210  BEG           7  (A) SymbolTableAnalysis
   259  5620125218  END           7  (A) SymbolTableAnalysis
   259  5620152987  END       28750  CheckLifetimes
   259  5628484971  BEG        1164  AnnotateKernels
   259  5628486135  END        1164  AnnotateKernels
   259  5628486136  BEG         227  VerifyKernels
   259  5628486364  END         227  VerifyKernels
   259  5628486364  BEG        2507  LowerSemanticCF
   259  5628488871  END        2507  LowerSemanticCF
   259  5628488872  BEG       27745  CheckLifetimes
   259  5628489821  BEG           7  (A) SymbolTableAnalysis
   259  5628489829  END           7  (A) SymbolTableAnalysis
   259  5628516618  END       27745  CheckLifetimes
   259  5629300161  BEG        1199  AnnotateKernels
   259  5629301361  END        1199  AnnotateKernels
   259  5629301361  BEG         235  VerifyKernels
   259  5629301596  END         235  VerifyKernels
   259  5629301596  BEG        2717  LowerSemanticCF
   259  5629304314  END        2717  LowerSemanticCF
   259  5629304317  BEG       31226  CheckLifetimes
   259  5629305361  BEG           7  (A) SymbolTableAnalysis
   259  5629305369  END           7  (A) SymbolTableAnalysis
   259  5629335544  END       31226  CheckLifetimes
   259  5630019179  BEG        1179  AnnotateKernels
   259  5630020358  END        1179  AnnotateKernels
   259  5630020359  BEG         234  VerifyKernels
   259  5630020594  END         234  VerifyKernels
   259  5630020594  BEG        2530  LowerSemanticCF
   259  5630023124  END        2530  LowerSemanticCF
   259  5630023125  BEG       29768  CheckLifetimes
   259  5630024086  BEG           7  (A) SymbolTableAnalysis
   259  5630024093  END           7  (A) SymbolTableAnalysis
   259  5630052893  END       29768  CheckLifetimes
   259  5630695834  BEG        1205  AnnotateKernels
   259  5630697040  END        1205  AnnotateKernels
   259  5630697040  BEG         233  VerifyKernels
   259  5630697274  END         233  VerifyKernels
   259  5630697274  BEG        2508  LowerSemanticCF
